,game_name,metascore,userscore,publisher,developer,release_date,maturity_rating,singleplayer,multiplayer,onXbox,onPC,onPlaystation,onSwitch,onWii,onMac,onIOS,onAndroid,youtube_videos_count,achievements_count,ratings_count,average_playtime,game_series_count,genres
0,INSIDE,93,8.3,Playdead,Playdead,29-6-2016,T,True,False,True,True,True,True,False,False,True,False,1000000,14,1786,4,0,"['action', 'adventure', 'indie', 'puzzle', 'platformer']"
1,Wipeout XL,93,8.6,Psygnosis,Psygnosis,30-9-1996,,False,False,False,True,False,False,False,False,False,False,0,0,1,0,0,['racing']
2,Burnout 3: Takedown,93,9.0,Electronic Arts,Criterion Games,7-9-2004,T,False,True,True,False,True,False,False,False,False,False,159866,0,104,23,3,"['racing', 'arcade']"
3,NBA 2K2,93,7.4,SEGA,Visual Concepts,24-10-2001,,False,False,True,False,True,False,False,False,False,False,0,0,2,0,0,['sports']
4,The Elder Scrolls V: Skyrim,92,6.6,Bethesda Softworks,Bethesda Softworks,11-11-2011,M,True,False,True,True,True,True,False,False,False,False,1000000,76,3380,45,14,"['action', 'role-playing-games-rpg']"
5,Persona 4 Golden,93,8.6,SEGA,Atlus,20-11-2012,M,True,False,False,True,False,False,False,False,False,False,1000000,36,397,5,8,['role-playing-games-rpg']
6,Call of Duty: Modern Warfare 2,94,6.5,Activision Blizzard,Aspyr Media,10-11-2009,,True,True,True,True,True,False,False,True,False,False,1000000,53,1430,25,24,"['action', 'shooter']"
7,SSX 3,93,8.8,Electronic Arts,Electronic Arts Canada,20-10-2003,E,True,True,True,False,True,False,False,False,False,False,0,0,26,0,6,"['sports', 'racing']"
8,Tony Hawk's Pro Skater 3,93,7.6,Activision Blizzard,Gearbox Software,4-3-2002,,True,True,True,True,True,False,False,False,False,False,667178,0,107,5,4,"['sports', 'arcade']"
9,God of War II,93,9.0,Sony Computer Entertainment,Sony Interactive Entertainment,13-3-2007,,False,False,False,False,True,False,False,False,False,False,1000000,35,661,17,9,"['action', 'adventure']"
10,Persona 5,93,8.7,Deep Silver,Atlus,4-4-2017,M,True,False,False,False,True,False,False,False,False,False,1000000,38,1104,105,8,"['action', 'adventure', 'role-playing-games-rpg']"
11,Guitar Hero II,92,8.1,Activison,Harmonix Music Systems,3-4-2007,,False,True,True,False,True,False,False,False,False,False,633641,50,89,10,0,['simulation']
12,Grand Theft Auto: San Andreas,93,8.8,Capcom,Rockstar North,7-6-2005,M,True,True,True,True,True,False,False,True,True,True,1000000,55,2492,2,9,"['action', 'adventure']"
13,Half-Life: Alyx,93,9.2,Valve,Valve Software,23-3-2020,M,True,False,False,True,False,False,False,False,False,False,600535,17,181,6,3,"['action', 'shooter', 'adventure']"
14,Metal Gear Solid V: The Phantom Pain,93,8.2,Konami,Konami Digital Entertainment,1-9-2015,M,True,True,True,True,True,False,False,False,False,False,1000000,38,1946,27,7,"['action', 'shooter']"
15,Divinity: Original Sin II,93,8.8,Larian Studios,Larian Studios,14-9-2017,,True,True,True,True,True,True,False,False,False,False,1000000,97,1010,22,1,"['role-playing-games-rpg', 'strategy']"
16,Flipnote Studio,93,7.5,Nintendo,,12-8-2009,,False,False,False,False,False,False,False,False,False,False,0,0,4,0,0,[]
17,Hades,93,8.9,,ryvedc,17-9-2020,,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,['platformer']
18,Test Drive Le Mans,93,8.3,SEGA,Atari,13-11-2000,,True,True,False,True,True,False,False,False,False,False,0,0,4,0,0,"['racing', 'arcade']"
19,Metal Gear Solid 3: Subsistence,94,9.1,Konami,Kojima Productions,14-3-2006,M,False,False,False,False,True,False,False,False,False,False,0,0,2,0,0,['shooter']
20,Red Dead Redemption 2,93,6.1,Rockstar Games,Rockstar Games,5-11-2019,M,True,True,True,True,True,False,False,False,False,False,1000000,40,3364,21,3,"['action', 'adventure']"
21,Prince of Persia: The Sands of Time,92,7.9,Ubisoft Entertainment,Ubisoft,12-11-2003,M,True,False,True,True,True,False,False,False,False,False,355496,10,649,2,13,"['action', 'adventure']"
22,Starcraft II: Wings of Liberty,93,8.3,Blizzard Entertainment,,27-7-2010,T,False,False,False,True,False,False,False,True,False,False,1000000,0,189,13,0,['strategy']
23,Eternal Darkness: Sanity's Requiem,92,8.7,Nintendo,Silicon Knights,23-6-2002,,True,False,False,False,False,False,False,False,False,False,677189,0,27,0,0,[]
24,SoulCalibur II,93,8.9,Bandai Namco Entertainment,Project Soul,27-8-2003,T,True,True,True,False,True,False,False,False,False,False,580245,0,64,0,3,['fighting']
25,Braid,93,8.5,Microsoft Studios,Number None,6-8-2008,E,True,False,True,True,True,False,False,True,True,False,445150,24,771,2,0,"['action', 'arcade', 'indie', 'puzzle', 'platformer']"
26,Bloodborne,92,8.8,,Sony Interactive Entertainment,24-3-2015,M,False,False,False,False,True,False,False,False,False,False,1000000,10,1904,12,6,"['action', 'role-playing-games-rpg']"
27,NCAA Football 2004,94,8.3,EA SPORTS,Electronic Arts Tiburon,16-7-2003,,True,True,True,False,True,False,False,False,False,False,0,0,0,0,0,['sports']
28,Street Fighter Alpha 3,93,8.6,,Sony Interactive Entertainment,30-4-1999,T,False,True,False,False,True,False,False,False,False,False,0,0,2,0,0,['fighting']
29,Tom Clancy's Splinter Cell,93,8.6,Ubisoft Entertainment,Ubisoft,17-11-2002,,True,True,True,True,True,False,False,False,False,False,1000000,37,317,2,6,"['action', 'adventure']"
30,Journey,92,8.3,Sony Computer Entertainment,Sony Interactive Entertainment,21-7-2015,,True,True,False,True,True,False,False,False,True,False,1000000,14,1901,2,0,"['adventure', 'family', 'indie']"
31,World Soccer Winning Eleven 7 International,93,8.3,Konami,Konami Digital Entertainment,17-2-2004,,False,False,False,True,False,False,False,False,False,False,0,0,21,75,18,['sports']
32,Street Fighter IV,93,7.3,Capcom,Capcom,17-2-2009,M,True,True,True,True,True,False,False,False,True,False,1000000,48,156,2,12,"['action', 'arcade', 'fighting']"
33,Okami,93,9.1,Capcom,Clover Studio,19-9-2006,,False,False,False,False,True,False,True,False,False,False,991513,0,83,1,0,['action']
34,Resident Evil 2,93,8.6,Capcom,Sony Interactive Entertainment,25-1-2019,M,True,False,True,True,True,False,False,False,False,False,446922,29,643,13,21,"['action', 'adventure']"
35,Mass Effect 3,93,5.7,Electronic Arts,BioWare,5-3-2012,M,False,False,True,True,True,False,True,False,False,False,1000000,70,1260,30,5,"['action', 'role-playing-games-rpg']"
36,Madden NFL 2004,94,7.2,Electronic Arts,Electronic Arts Tiburon,12-8-2003,,True,True,True,True,True,False,False,False,False,False,0,0,5,0,0,['sports']
37,Super Mario 3D World,93,8.9,Nintendo,Nintendo,22-11-2013,E,False,False,False,False,False,True,True,False,False,False,1000000,0,177,58,17,"['action', 'platformer']"
38,Gears of War 2,93,7.9,Microsoft Studios,Epic Games,7-11-2008,M,False,False,True,False,False,False,False,False,False,False,1000000,79,567,22,8,['shooter']
39,Paper Mario,93,9.0,Nintendo,Intelligent Systems,5-2-2001,E,False,False,False,False,False,False,True,False,False,False,1000000,0,113,5,5,['role-playing-games-rpg']
40,Diablo,94,8.7,Electronic Arts,Blizzard North,31-12-1996,,True,True,False,True,True,False,False,True,False,False,1000000,0,348,1,5,"['action', 'role-playing-games-rpg']"
41,God of War,94,8.9,Sony Computer Entertainment,SCE Santa Monica Studio,22-3-2005,M,False,False,False,False,True,False,False,False,False,False,759528,36,469,11,9,"['action', 'adventure']"
42,Virtua Fighter 4,94,8.1,,,17-3-2002,,False,False,False,False,True,False,False,False,False,False,0,0,4,0,0,['fighting']
43,Uncharted 3: Drake's Deception,92,8.4,Sony Computer Entertainment,Naughty Dog,1-11-2011,T,False,False,False,False,True,False,False,False,False,False,1000000,164,1548,12,4,"['action', 'adventure']"
44,Company of Heroes,93,8.8,SEGA,Feral Interactive,13-9-2006,,True,True,False,True,False,False,False,False,True,False,1000000,0,422,7,2,['strategy']
45,SSX,93,8.2,Electronic Arts,Electronic Arts,30-10-2000,E,False,False,True,False,True,False,False,False,False,False,416781,50,131,17,6,"['sports', 'arcade']"
